Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Sam Pellom,,2.2,1.8,0.7,0,NA
Joe Holup,91.6,2.1,1.8,0.3,NA,NA
Donnell Harvey,89.8,2,1.8,0.7,0.2,0.1
Cliff Pondexter,84.7,2.2,1.5,1,NA,NA
Ben Coleman,84.0,2,1.8,0.8,0.5,0
Al Eberhard,83.8,2.6,1.8,0.9,0,NA
Carey Scurry,83.8,2.6,1.8,0.9,NA,NA
Dave Sorenson,83.8,2.6,2.1,0.7,NA,NA
Cheick Diallo,83.6,2.6,1.9,0.5,NA,NA
Alaa Abdelnaby,83.5,2.1,2,0.5,0.3,-0.1
Jim Palmer,81.8,2.4,1.9,0.2,NA,NA
