Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Marreese Speights,,4.2,4,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6
Joe Meriweather,91.9,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8
Clemon Johnson,90.2,4.3,4,3.7,3.5,2.2,2,2,1.7,1.2,0.9
Jon Koncak,88.2,3.8,3.7,3.7,3.7,3.1,2.5,2.3,1.8,1.4,1.1
Wayne Cooper,86.7,5.1,4.1,3.5,2.9,2.9,2.8,2,1.5,1.2,1.2
Mel Counts,86.3,5,4.3,4.2,2.9,2.7,1.9,1.5,1.5,1,0.3
Andrew Lang,84.9,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4,0.7
Otto Moore,83.5,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA
George Johnson,81.7,5,4.5,3.6,3.5,3.4,2.6,2.6,2.5,2,0.3
Coby Dietrick,81.6,4.5,4.4,4.1,3,2.9,2.5,2.3,0.3,0.1,0
Walter Dukes,81.5,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5,NA,NA
