Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Jerry Stackhouse,,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.9,0.4,0.3,0.2,0,-0.4
Avery Johnson,91.5,9.1,8,6.7,6.3,5.2,4.1,3.9,3.4,3,2.6,1.6,1.3,0.5,0.4,0.3,0.2,NA,NA
Slater Martin,89.7,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,2.2,1.4,NA,NA,NA,NA,NA,NA,NA
Kendall Gill,89.1,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4,NA,NA,NA
Vern Fleming,88.8,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.9,1.6,1.4,NA,NA,NA,NA,NA,NA
Muggsy Bogues,88.4,8.6,6.7,6.4,5.9,5,4.8,4.8,3.7,2.6,2.3,1.7,1.7,0,-0.1,NA,NA,NA,NA
Steve Kerr,88.1,8.3,7.5,6.1,5.9,3.8,3.2,2.4,2.2,1.8,1.6,1.5,1.3,0.6,0.6,0.4,NA,NA,NA
Kenny Smith,86.7,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Don Buse,86.4,10.6,7.1,6,5.4,4.7,4.6,4.6,4.4,2.6,2.2,2,1.7,1.3,NA,NA,NA,NA,NA
Latrell Sprewell,86.3,8.1,8,6.6,5.7,5.5,5.1,4,3.2,3,2.8,2,1.9,0.4,NA,NA,NA,NA,NA
Brad Davis,86.2,7.4,7.3,6.2,6.2,5.4,4.2,4,3.9,2.9,2.7,1.6,0.6,0.6,0.3,0.1,NA,NA,NA
