Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Terry Davis,,3.6,3.1,2,1.4,0.5,0.5,0.5,0.4,0.2,-0.1
Jason Caffey,85.0,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,NA,NA
Stacey King,84.2,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2,NA,NA
Don Adams,83.5,3.6,2.9,1.6,1.1,0.9,0.8,0.7,NA,NA,NA
Dwight Davis,82.8,3.7,3.3,2.3,1.5,0.6,NA,NA,NA,NA,NA
Jahidi White,81.7,3.3,3.2,2.1,1.2,0.6,0.2,-0.1,NA,NA,NA
Steve Novak,81.3,4,3.9,2.2,1.4,1.1,0.9,0.4,0.3,0.3,0.1
Derrek Dickey,81.1,3.8,3.1,2.3,1.7,0.3,NA,NA,NA,NA,NA
Lawrence Funderburke,80.9,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA,NA,NA
Luke Walton,80.7,3.8,3.2,2,2,1.6,0.8,0.5,0.3,-0.2,-0.4
George Johnson,79.1,3.8,3.2,2.5,2.2,1,0.7,0.6,0,NA,NA
