Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bruce Seals,,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
Kenny Williams,90.2,2.7,2.4,1.6,0.7,NA,NA,NA,NA
Shabazz Muhammad,88.2,2.7,2.7,2,0.7,0.3,NA,NA,NA
Renaldo Balkman,87.5,2.8,2.6,1.3,0.3,0.1,0,NA,NA
Cal Christensen,84.9,3.2,2.9,1.7,0.4,0,NA,NA,NA
Mark Alarie,84.8,3.1,2.2,1.5,0.9,0.6,NA,NA,NA
Mark Strickland,84.7,2.8,2.2,1,0.6,0.5,0,0,0
Joey Graham,84.0,3,2.2,1.3,1.1,0.3,0,NA,NA
Ronald Thomas,82.8,2.7,2,1.8,0.8,NA,NA,NA,NA
Tom Tolbert,82.6,2.7,2.5,1.3,0.1,0,0,0,NA
Ira Newble,82.4,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1
