Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bruce Seals,,2.9,2.4,1.6,0.6,0.3
Eric Williams,92.7,2.9,2.5,1.6,0.2,0.1
Kenny Williams,90.2,2.7,2.4,1.6,0.7,NA
Jared Jeffries,89.4,3.1,2.6,1.2,0.6,0.3
Shabazz Muhammad,88.2,2.7,2.7,2,0.7,0.3
Tony Massenburg,87.8,2.8,2.2,1.7,0.4,-0.1
Cal Christensen,84.9,3.2,2.9,1.7,0.4,0
Mark Alarie,84.8,3.1,2.2,1.5,0.9,0.6
Jackie Moreland,84.8,2.6,2.5,2.3,0.5,0.1
Ira Newble,84.7,3.3,2.3,1.9,0.2,0.1
Scott Padgett,84.6,3.5,2.5,1.9,0.4,0.1
