Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Truck Robinson,,7.6,7.3,6.9,6.5,6,5.1,4.3,3.3,3.2,2.7,-0.1
Tom Sanders,95.0,7.6,7.5,7.2,6.8,5.5,5.4,4.3,4,3,3,0
Armen Gilliam,91.8,7.6,6.8,6.7,6.6,5.3,5.1,4.6,4.5,4.1,2.8,1.3
Antonio Davis,91.5,7.4,7.2,6.5,6.1,6,5.2,5,4,3.8,2.2,2
Derrick McKey,90.7,7.4,7.4,6.6,6.4,6.3,5.7,5,4.1,3.9,2.1,1.8
Danilo Gallinari,90.6,8.2,7.2,6.8,6.3,6.1,5.6,3.9,3.9,1.2,1,NA
Bill Bridges,90.5,8.6,7.6,6.7,6.7,6.6,6.5,3.9,3.9,3.1,2.6,0.6
Mickey Johnson,90.3,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,0.7
Corey Maggette,90.2,8.6,8.1,7,6.9,6.3,5,3.9,3.3,3.3,3,2.6
Cazzie Russell,90.1,7.3,7.1,6.6,5.9,5.2,5.2,4.1,3,2.2,2,1.8
Dave DeBusschere,89.4,6.6,6.6,6.6,6.2,5.9,5.2,4.8,4.7,3.7,3.6,0
