Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ray Tolbert,,1.1,0.8,0.7,0.3,0
Josh Powell,90.6,1.1,0.7,0.6,0.3,0
Yi Jianlian,87.8,1.3,0.7,0.7,0.4,0
Steve Green,82.4,1.2,1.1,0.7,0.4,NA
Jarell Martin,82.1,1.3,0.8,0.6,0.5,NA
Bill Hosket,81.4,1,1,0.6,0.5,NA
Cartier Martin,80.7,0.8,0.7,0.7,0.4,0.1
James Michael McAdoo,80.2,1.1,0.8,0.5,0,NA
Tom Kozelko,79.0,1,0.7,0.7,NA,NA
Anthony Miller,78.0,1.2,0.8,0.6,0,-0.1
Bo Ellis,77.2,1.1,0.9,0.5,NA,NA
