Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Gary Grant,,3,1.7,1.6,1.4,1.3,1.3,1.1,0.6,0.4,0.1,0,0,-0.4
Alec Burks,86.7,3.2,1.9,1.7,1.5,1.5,1.5,1,0.8,NA,NA,NA,NA,NA
Randy Brown,76.4,2.4,1.9,1.8,1.6,1.5,1,0.9,0.4,0.3,0.2,0,-0.8,NA
Robert Pack,76.3,3.1,2.7,2.2,1.7,1.1,1.1,1.1,0.7,0.6,0.4,0.1,0.1,-0.6
Shelvin Mack,76.0,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5,NA,NA,NA,NA,NA
Anthony Bowie,75.2,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA,NA,NA,NA,NA
David Wingate,73.9,2.4,2.3,1.9,1.7,1.4,1,0.6,0.4,0.3,0.2,0.1,0,-0.5
Kevin Ollie,73.3,3.8,2.4,2.4,1.4,1.2,1.1,0.9,0.6,0.5,0.3,0.1,0,-0.1
John Crotty,72.4,2.4,2.2,2.1,1.9,1.3,1,0.8,0.3,0.1,0.1,-0.1,NA,NA
Wes Matthews,72.4,3,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1,NA,NA,NA,NA
Ledell Eackles,72.3,2.4,2.1,2,1.2,1,1,1,NA,NA,NA,NA,NA,NA
