Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Byron Beck,,8.1,7.7,6.4,5.9,5.7,5.7,5.3,5.1,4.4,0.8
Mychal Thompson,89.7,8.2,6.9,6.1,5.4,5.3,5.2,4.6,4.4,3.7,2.6
Caldwell Jones,89.2,8.1,7.6,6.2,5.5,5.2,5,4.4,3.9,3.1,2.5
Red Kerr,88.8,8.7,7.8,7.7,5.8,5.4,5,4.9,4.6,3.9,3.8
Brook Lopez,88.8,9,7.9,7,6.3,6.2,5.8,4.9,3.8,2.3,0.3
Tree Rollins,88.4,9.2,7.3,6.4,6.4,5.5,5,4.9,3.8,3.4,2.6
Vlade Divac,87.8,9.5,8.3,7.4,7.3,6.1,5.9,5.6,5.2,5,1.8
Mike Gminski,86.9,9.2,7,6.5,6.1,6,5.4,4.3,4,1.8,1.5
Sam Lacey,86.0,7.7,7.4,6.5,5.6,5.6,5,4.3,2.7,1.2,0.3
James Donaldson,85.7,10.4,6.2,5.8,5.7,5.6,5.1,5,4.5,4.4,2.5
Greg Monroe,85.0,7.5,7,6.8,6.6,5.9,5.9,5.6,3.4,1.1,NA
