Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Byron Beck,,8.1,7.7,6.4,5.9,5.7,5.7,5.3,5.1,4.4,0.8,NA,NA,NA,NA
Brook Lopez,89.5,9,7.9,7,6.7,6.3,6.2,5.8,4.9,3.8,2.3,0.3,NA,NA,NA
Sam Lacey,89.4,7.7,7.4,6.5,5.6,5.6,5,4.3,4,2.7,1.2,0.6,0.3,-0.1,NA
Mike Gminski,85.5,9.2,7,6.5,6.1,6,5.4,4.3,4,2.9,1.8,1.5,0.5,0.5,0
Mychal Thompson,85.3,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1,NA,NA
Greg Monroe,85.0,7.5,7,6.8,6.6,5.9,5.9,5.6,3.4,1.1,NA,NA,NA,NA,NA
Red Kerr,84.9,8.7,7.8,7.7,5.8,5.4,5,4.9,4.6,3.9,3.8,3.1,0.9,NA,NA
Red Rocha,84.5,7.8,7.2,7,6.5,5.1,5,4.6,3.6,1,NA,NA,NA,NA,NA
Andrew Bogut,83.9,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4,2.6,1.7,0.7,0.5,0.4,0.3
Emeka Okafor,83.1,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1,NA,NA,NA,NA
DeMarcus Cousins,82.1,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1,NA,NA,NA,NA,NA
