Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,26,GSW,NBA,PG,79,NA,2134,6.5,12.7,0.512,3.6,4.8,0.739,2.8,5.2,8,6.2,2.2,0.2,NA,5,16.6,NA,NA,99
1974-75,27,GSW,NBA,PG,82,NA,2521,7.2,13.7,0.528,4.1,4.9,0.832,2.1,3.5,5.6,6.1,2.3,0.2,NA,5.3,18.6,NA,NA,100
1975-76,28,TOT,NBA,PG,75,NA,1704,6.2,13.5,0.46,3.9,5.2,0.75,2.8,5.6,8.4,5.9,2.2,0.2,NA,5.9,16.3,NA,NA,98
1975-76,28,CLE,NBA,PG,15,NA,255,6.5,16.7,0.389,5,6.9,0.73,2.6,5.4,8,8.3,1.9,0.4,NA,6.7,18,NA,NA,97
1975-76,28,NYK,NBA,PG,60,NA,1449,6.1,12.9,0.475,3.7,4.9,0.755,2.8,5.7,8.5,5.5,2.3,0.2,NA,5.7,16,NA,NA,98
1976-77,29,NYK,NBA,PG,70,NA,1082,6.1,12,0.505,3.1,4.5,0.688,2.1,4.6,6.7,5.9,2.3,0.2,NA,5.6,15.2,NA,NA,100
1977-78,30,NYK,NBA,PG,79,NA,1979,6.8,13.6,0.502,2.9,3.5,0.806,1.7,4.2,5.8,7.5,2.6,0.1,3.4,4.4,16.5,NA,106,103
1978-79,31,NYK,NBA,PG,7,NA,85,5.9,14,0.423,0,0,NA,0.5,4.8,5.4,10.2,3.8,0,5.4,7,11.8,NA,82,102
Career,NA,,NBA,,392,NA,9505,6.7,13.2,0.487,3.5,4.6,0.771,2.3,4.5,6.8,6.4,2.3,0.2,0.8,5.2,16.8,NA,105,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,216,NA,4595,6.4,13,0.493,3.1,4.1,0.757,2.1,4.7,6.8,6.6,2.4,0.1,1.6,5.2,16,NA,105,101
2 seasons,NA,GSW,NBA,,161,NA,4655,6.9,13.2,0.521,3.9,4.9,0.789,2.4,4.3,6.7,6.1,2.3,0.2,NA,5.1,17.7,NA,NA,99
2 seasons,NA,CLE,NBA,,15,NA,255,6.5,16.7,0.457,5,6.9,0.757,2.6,5.4,8,8.3,1.9,0.4,NA,6.7,18,NA,NA,97
1 season,NA,ATL,NBA,,0,NA,0,NA,NA,0.467,NA,NA,0.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,SEA,NBA,,0,NA,0,NA,NA,0.439,NA,NA,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
