Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Butch Beard,,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0
Dave Twardzik,91.1,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA
Raja Bell,88.8,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.1,-0.1
Ben Gordon,88.7,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,-0.6
J.R. Smith,88.6,6.7,5.8,5,3.7,3.7,2.7,2.5,1.2,0.2
John Salmons,88.0,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.4,0.6
Eric Snow,87.8,8.4,6.1,5.5,5.5,3.8,3.8,1.9,1.3,0.5
J.J. Redick,87.2,6.7,6.5,5.2,4.5,4.5,3,2.3,1.7,0.5
Ricky Rubio,87.1,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA
Johnny Moore,87.0,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1
Ronnie Brewer,86.9,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA
