Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1969-70,22,ATL,NBA,PG,72,941,15.7,0.54,0.416,NA,NA,NA,16.7,NA,NA,NA,NA,NA,1.7,0.5,2.2,0.113,NA,NA,NA,NA,NA
1971-72,24,CLE,NBA,PG,68,2434,15.7,0.524,0.403,NA,NA,5.5,26.3,NA,NA,NA,NA,NA,3.7,2.2,5.9,0.115,NA,NA,NA,NA,NA
1972-73,25,SEA,NBA,PG,73,1403,13.1,0.485,0.322,NA,NA,5.9,23.9,NA,NA,NA,NA,NA,1,0.5,1.5,0.051,NA,NA,NA,NA,NA
1973-74,26,GSW,NBA,PG,79,2134,15.5,0.559,0.379,6.2,11,8.6,17.7,2.2,0.2,NA,NA,NA,3.7,1.9,5.6,0.126,NA,0.2,0.7,0.9,1.6
1974-75,27,GSW,NBA,PG,82,2521,16.1,0.585,0.361,4.5,7.8,6.1,17.6,2.3,0.2,NA,NA,NA,5.6,2,7.6,0.144,NA,0.6,0.3,0.9,1.8
1975-76,28,TOT,NBA,PG,75,1704,14.5,0.517,0.387,6.1,12.7,9.4,17.3,2.2,0.3,NA,NA,NA,1.9,1.8,3.7,0.105,NA,-0.5,1,0.5,1.1
1975-76,28,CLE,NBA,PG,15,255,14.5,0.456,0.411,5.5,12.1,8.7,23.7,1.9,0.4,NA,NA,NA,0.1,0.3,0.4,0.073,NA,-1.6,0.3,-1.3,0.1
1975-76,28,NYK,NBA,PG,60,1449,14.5,0.53,0.382,6.2,12.8,9.5,16.2,2.3,0.2,NA,NA,NA,1.8,1.5,3.3,0.11,NA,-0.3,1.1,0.9,1
1976-77,29,NYK,NBA,PG,70,1082,13.4,0.544,0.372,4.9,10.7,7.9,16.9,2.3,0.2,NA,NA,NA,0.9,1,2,0.088,NA,-0.9,1,0.1,0.6
1977-78,30,NYK,NBA,PG,79,1979,14.6,0.544,0.261,4,9.6,6.9,21.5,2.6,0.1,18.4,16,NA,2.8,1.6,4.4,0.107,NA,-0.1,0.5,0.4,1.2
1978-79,31,NYK,NBA,PG,7,85,9,0.423,0,1.3,11.5,6.3,27.9,3.8,0,27.8,16.6,NA,-0.1,0.1,0,-0.012,NA,-4,0.6,-3.4,0
Career,NA,,NBA,,605,14283,15,0.54,0.36,5.1,10.1,7.1,20.2,2.3,0.2,18.8,16.1,NA,21.2,11.6,32.8,0.11,NA,0,0.6,0.6,6.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,216,4595,14.2,0.538,0.317,4.9,10.9,7.9,18.8,2.4,0.2,18.8,16.1,NA,5.5,4.3,9.7,0.101,NA,-0.4,0.8,0.4,2.8
2 seasons,NA,GSW,NBA,,161,4655,15.8,0.573,0.369,5.2,9.2,7.3,17.6,2.3,0.2,NA,NA,NA,9.3,3.9,13.2,0.136,NA,0.4,0.5,0.9,3.4
2 seasons,NA,CLE,NBA,,83,2689,15.6,0.518,0.404,5.5,12.1,5.8,26,1.9,0.4,NA,NA,NA,3.8,2.5,6.2,0.111,NA,-1.6,0.3,-1.3,0.1
1 season,NA,SEA,NBA,,73,1403,13.1,0.485,0.322,NA,NA,5.9,23.9,NA,NA,NA,NA,NA,1,0.5,1.5,0.051,NA,NA,NA,NA,NA
1 season,NA,ATL,NBA,,72,941,15.7,0.54,0.416,NA,NA,NA,16.7,NA,NA,NA,NA,NA,1.7,0.5,2.2,0.113,NA,NA,NA,NA,NA
