Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,24,CLE,NBA,PG,1,0,7:00,1,4,0.25,1,1,1,NA,1,0,NA,NA,NA,0,3
Career,NA,,NBA,,1,0,7,1,4,0.25,1,1,1,NA,1,0,NA,NA,NA,0,3
