,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,SFW,NBA,,10,,3,4,,,,,,,,20
1967-68,23,SFW,NBA,,7,15,4,6,,,11,5,,,6,16
1968-69,24,SFW,NBA,,16,24,7,8,,,14,8,,,6,35
1969-70,25,SFW,NBA,,15,31,12,15,,,17,6,,,6,38
1970-71,26,SFW,NBA,,12,,6,9,,,,,,,,26
1971-72,27,GSW,NBA,,12,,6,8,,,,,,,,25
1972-73,28,GSW,NBA,,10,,6,7,,,,,,,,21
1973-74,29,GSW,NBA,,7,,3,8,,,,,,,,17
Career,,,,,16,,12,15,,,,,,,,38
