Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Joe Ellis,,1.3,1.3,1.1,1,0.5,0.4,-0.2,-0.3
Major Jones,79.4,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA
Charles Davis,73.4,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3
Anthony Randolph,72.9,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA
Lance Thomas,72.9,1.7,1.2,1.2,0.9,0.9,0.1,-0.1,-0.4
John Wallace,72.7,1.6,1.5,1,1,0.7,0.3,0.3,NA
Darvin Ham,72.0,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4
Jim Ard,70.8,1,1,0.9,0.8,0.6,0.4,-0.1,-0.4
Greg Foster,70.7,1.3,1,1,0.6,0.6,0.5,0.2,0
Brian Scalabrine,70.0,1.7,1.4,1.1,1,0.9,0.6,0.3,-0.1
Jerry Chambers,67.8,1.5,1.4,1.3,1.1,0,0,NA,NA
