,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,SFW,NBA,,1,4,0,0,,,1,2,,,2,2
1967-68,23,SFW,NBA,,4,10,3,3,,,7,3,,,4,9
1968-69,24,SFW,NBA,,9,22,5,8,,,11,1,,,5,23
1970-71,26,SFW,NBA,,7,,2,3,,,,,,,,14
1971-72,27,GSW,NBA,,5,,7,8,,,,,,,,17
1972-73,28,GSW,NBA,,4,9,0,0,,,4,2,,,6,8
Career,,,,,9,,7,8,,,,,,,,23
