Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Joe Ellis,,1.3,1.3,1.1,1,0.5,0.4,-0.2,-0.3,NA
Major Jones,79.4,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA,NA
Charles Davis,73.4,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3,NA
Anthony Randolph,72.9,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA,NA
Lance Thomas,72.9,1.7,1.2,1.2,0.9,0.9,0.1,-0.1,-0.4,NA
John Wallace,72.7,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA
Darvin Ham,72.0,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,NA
Jim Ard,70.8,1,1,0.9,0.8,0.6,0.4,-0.1,-0.4,NA
Jerry Chambers,67.8,1.5,1.4,1.3,1.1,0,0,NA,NA,NA
Michael Ruffin,66.0,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
Jeff Ayres,64.4,2.4,1.3,1.2,1,0.3,0.2,NA,NA,NA
