,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1954-55,22,BOS,NBA,,7,,5,,,,6,15
1955-56,23,BOS,NBA,,9,,7,9,,,5,21
1956-57,24,TOT,NBA,,9,,9,10,,,6,26
1956-57,24,BOS,NBA,,6,,4,6,,,4,16
1956-57,24,SYR,NBA,,9,,9,10,,,6,26
1957-58,25,SYR,NBA,,10,,11,16,,,,31
1958-59,26,SYR,NBA,,16,,6,9,,,,37
1959-60,27,SYR,NBA,,3,,3,3,,,,7
Career,,,,,16,,11,,,,,37
4 Seasons,,SYR,NBA,,16,,11,16,,,,37
3 Seasons,,BOS,NBA,,9,,7,,,,6,21
