Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Togo Palazzi,,2,1.7,1.6,0.8,0.6,-0.2
Kris Humphries,84.4,1.9,1.8,1.5,0.7,0.2,-0.3
Jud Buechler,81.0,2.3,1.8,1.5,1.2,0.5,0.4
Steve Kuberski,80.0,2.6,1.7,1.7,1.2,0.6,0.2
Dorie Murrey,79.7,2.2,1.9,1.6,0.5,0.2,0.1
Bob Brannum,79.3,2,1.6,1.1,0.8,0,NA
Charles Davis,79.3,2.1,1.5,1,0.9,0.3,-0.3
Justin Holiday,79.1,2.5,2.1,1.7,1.3,0.6,-0.1
Michael Ruffin,79.0,1.9,1.7,1,0.6,0.2,0
Wesley Johnson,77.7,2.6,1.9,1.7,1.3,0.6,0
Scott Hastings,76.7,2.1,1.3,1,0.8,0.4,0.1
