Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Togo Palazzi,,2,1.7,1.6,0.8,0.6,-0.2,NA,NA,NA
Michael Ruffin,84.2,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
Dorie Murrey,79.7,2.2,1.9,1.6,0.5,0.2,0.1,NA,NA,NA
Bob Brannum,79.3,2,1.6,1.1,0.8,0,NA,NA,NA,NA
Justin Holiday,79.1,2.5,2.1,1.7,1.3,0.6,-0.1,NA,NA,NA
Johnny Baum,76.2,2,1.9,1.5,0.4,-0.1,NA,NA,NA,NA
Al Thornton,75.4,2.2,1.6,1.3,1.1,NA,NA,NA,NA,NA
Larry Staverman,75.2,1.6,1.6,1.4,1.2,1.1,NA,NA,NA,NA
Rodney Carney,75.0,1.6,1.5,1.5,1.3,0.3,NA,NA,NA,NA
Lamar Green,75.0,2.4,2,1.9,0.5,0.4,0.2,NA,NA,NA
Shawne Williams,74.9,2.5,1.9,1.4,0.7,0.7,0,-0.4,NA,NA
