Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1954-55,22,BOS,NBA,SG,53,NA,9.5,1.9,4.8,0.399,0.8,1.1,0.75,2.8,0.6,1.1,4.7
1955-56,23,BOS,NBA,SF,63,NA,11.2,2.3,5.9,0.389,1.3,2,0.685,2.9,0.7,1.4,6
1956-57,24,TOT,NBA,SF,63,NA,16.1,3.3,9.1,0.368,2.2,2.8,0.777,4.2,0.8,1.9,8.8
1956-57,24,BOS,NBA,SF,21,NA,11.1,2,5.6,0.347,1.1,1.5,0.719,3.6,0.4,1.1,5
1956-57,24,SYR,NBA,SF,42,NA,18.6,4,10.8,0.373,2.7,3.4,0.79,4.5,1,2.2,10.7
1957-58,25,SYR,NBA,SF,67,NA,14.9,3.4,8.6,0.394,1.8,2.6,0.719,3.6,0.6,1.9,8.6
1958-59,26,SYR,NBA,SF,71,NA,14.8,3.4,8.6,0.392,1.6,2.2,0.728,3.7,0.9,2.5,8.4
1959-60,27,SYR,NBA,SF,7,NA,10,1.9,5.9,0.317,0.6,1.1,0.5,2,0.4,1,4.3
Career,NA,,NBA,,324,NA,13.4,2.9,7.5,0.386,1.6,2.1,0.73,3.4,0.7,1.8,7.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,SYR,NBA,,187,NA,15.5,3.5,9,0.386,1.9,2.6,0.74,3.8,0.8,2.1,8.9
3 seasons,NA,BOS,NBA,,137,NA,10.5,2.1,5.4,0.386,1.1,1.6,0.708,2.9,0.6,1.2,5.3
