Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gorgui Dieng,,5.9,5.7,4.9,2.9,2.8,2.2
Steve Hawes,91.1,6.1,6,5.4,3.4,2.5,1.9
Herb Williams,90.6,6.2,4.7,4.6,3.5,2.8,2.2
Cody Zeller,88.4,6.3,5.6,3.9,3.8,2.6,1.9
LaSalle Thompson,87.7,5.6,5.3,4.9,4.5,2.3,1.9
Roy Hibbert,87.6,6.2,6.1,5.4,4.1,3.6,2.1
Rick Mahorn,86.9,6.2,5.9,4.8,3.6,1.8,1.3
Wayne Embry,85.2,6.7,6.3,5.6,3.4,2,1.9
Benoit Benjamin,84.1,5.4,5.1,4,3,2,1.1
Nikola Vučević,84.1,7,5.7,5.2,4.4,4,1.8
Alton Lister,83.8,5.5,5.3,4.1,4,3.8,1.7
