Season,Team,Lg,Salary
2013-14,Minnesota Timberwolves,NBA,"$1,352,640"
2014-15,Minnesota Timberwolves,NBA,"$1,413,480"
2015-16,Minnesota Timberwolves,NBA,"$1,474,440"
2016-17,Minnesota Timberwolves,NBA,"$2,348,783"
2017-18,Minnesota Timberwolves,NBA,"$14,112,360"
2018-19,Minnesota Timberwolves,NBA,"$15,170,787"
Career,(may be incomplete),,"$35,872,490"
