Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Gorgui Dieng,,5.9,5.7,4.9,2.9,2.8,2.2,NA,NA,NA,NA,NA,NA,NA,NA
Cody Zeller,88.4,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA
Connie Simmons,84.3,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.1,NA,NA,NA,NA,NA
Kendrick Perkins,81.8,6.2,5.6,5.2,2.5,2.3,2,1.4,1,0.8,0.7,0.1,0.1,0,-0.1
Gene Moore,81.3,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA,NA,NA,NA,NA
Kelly Olynyk,81.3,5.5,4.7,4.1,4.1,3.6,2.9,NA,NA,NA,NA,NA,NA,NA,NA
Lloyd Neal,80.9,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,NA,NA,NA,NA,NA,NA,NA
Kevin Kunnert,80.4,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA,NA,NA,NA
Sam Bowie,80.1,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,NA,NA,NA,NA
Kevin Duckworth,79.5,5.2,4.8,4.8,4.3,3.3,2.5,0.8,0,-0.1,-0.2,-0.5,NA,NA,NA
Randy Denton,79.2,5.5,4.3,3.9,3.1,3,0.4,NA,NA,NA,NA,NA,NA,NA,NA
