Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Steve Harris,,1.3,1.2,0.8,0,-0.1,NA,NA
Chris Smith,91.1,1.2,1.1,0.9,NA,NA,NA,NA
Norris Cole,86.4,1.4,1.2,0.6,0,-0.1,-0.1,NA
Corky Devlin,78.6,1.8,1.2,0.8,NA,NA,NA,NA
Steve Henson,78.5,1.2,1.1,1,0.2,0.1,0,0
Dante Exum,77.8,1.2,1,0.7,-0.1,NA,NA,NA
Jimmy O'Brien,76.8,1.4,1.4,1,0.2,NA,NA,NA
Ernie DiGregorio,76.0,1.3,1.2,0.6,0.1,-0.6,NA,NA
Tommy Kron,74.5,1.3,0.8,0.8,-0.3,NA,NA,NA
Antoine Wright,73.2,1.4,1.2,0.8,0.3,-0.1,-0.5,NA
Steve Alford,71.4,1.4,0.9,0.6,0.3,NA,NA,NA
