Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2014-15,23,TOT,NBA,C,63,39,1196,6.6,11.6,0.575,0,0,0,6.6,11.5,0.577,2.8,5,0.551,6,9.6,15.6,1.8,0.8,1,2,6.7,16,NA,118,108
2014-15,23,HOU,NBA,C,25,12,393,5.7,10.5,0.542,0,0.1,0,5.7,10.4,0.549,1.9,3.7,0.517,7.3,8.7,16.1,1,0.8,0.3,2.4,7.1,13.3,NA,112,105
2014-15,23,LAL,NBA,C,38,27,803,7.1,12.1,0.589,0,0,NA,7.1,12.1,0.589,3.2,5.7,0.562,5.3,10,15.3,2.2,0.8,1.4,1.8,6.5,17.4,NA,121,110
2015-16,24,LAL,NBA,C,39,0,496,5.8,10.5,0.548,0,0,NA,5.8,10.5,0.548,1.9,4.6,0.422,4.5,11.4,15.9,1.6,1.4,1.8,2.2,7.9,13.5,NA,105,108
2016-17,25,LAL,NBA,C,67,16,1091,6.7,13.1,0.51,0,0.1,0.5,6.7,13,0.51,3.7,4.9,0.752,6.4,8.9,15.3,1.7,1.3,2,2.6,7.7,17.1,NA,114,111
2017-18,26,HOU,NBA,C,51,2,536,6.9,11.7,0.591,0.1,1,0.091,6.8,10.6,0.638,2.7,5.8,0.46,5.8,9.2,15,1.2,1.9,2.8,3.2,9.8,16.5,NA,110,102
Career,NA,,NBA,,220,57,3319,6.6,11.9,0.55,0,0.2,0.143,6.5,11.7,0.557,2.9,5,0.582,5.9,9.6,15.4,1.6,1.2,1.7,2.4,7.7,16.1,NA,114,108
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,144,43,2390,6.6,12.3,0.543,0,0,0.5,6.6,12.2,0.543,3.1,5.1,0.621,5.7,9.8,15.4,1.9,1.2,1.8,2.3,7.4,16.5,NA,115,110
2 seasons,NA,HOU,NBA,,76,14,929,6.4,11.2,0.571,0.1,0.6,0.083,6.3,10.5,0.601,2.3,4.9,0.478,6.4,9,15.4,1.1,1.4,1.7,2.9,8.7,15.2,NA,111,103
