Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tarik Black,,3.1,2.4,1.5,0.7,NA,NA,NA,NA
Željko Rebrača,89.0,3.3,2.4,1.3,0.7,0.5,NA,NA,NA
Salah Mejri,88.0,3,2.7,1.3,1.1,NA,NA,NA,NA
Reggie Harding,87.3,3.1,2.6,1.6,0,NA,NA,NA,NA
Gene Wiley,85.8,2.8,2.4,1.8,1.3,-0.1,NA,NA,NA
Stanley Roberts,84.9,3.2,2.1,1.8,0.7,0.5,0,-0.1,-0.1
Victor Alexander,83.2,3,2.5,2.3,1.1,-0.1,NA,NA,NA
Willy Hernangómez,81.3,3.4,2.6,1.8,NA,NA,NA,NA,NA
Alexis Ajinça,81.2,3.2,2.1,1,1,0.4,0,-0.1,NA
Bob Hopkins,80.0,3.5,2.7,1.9,1.4,NA,NA,NA,NA
Tom LaGarde,79.8,2.7,2.2,1.7,0.4,0,-0.5,NA,NA
