Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tarik Black,,3.1,2.4,1.5,0.7
Željko Rebrača,92.4,3.3,2.4,1.3,0.5
Robin Lopez,91.2,3.2,2.1,1.5,1.1
Michael Doleac,90.4,3,2.2,1.5,0.3
Joe Kleine,89.2,3.1,2.6,1,0.9
Jim McIlvaine,88.0,3,1.9,1.8,0.8
Salah Mejri,88.0,3,2.7,1.3,1.1
Reggie Harding,87.3,3.1,2.6,1.6,0
Wayne Cooper,86.9,2.9,2.8,1.5,1.2
Tom LaGarde,86.5,2.7,2.2,1.7,0.4
Gene Wiley,86.4,2.8,2.4,1.8,1.3
