Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Clemon Johnson,,4.3,4,3.7,3.5,2.2,2,2,1.7,1.2,0.9
Marreese Speights,90.2,4.2,4,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6
Jon Koncak,87.9,3.8,3.7,3.7,3.7,3.1,2.5,2.3,1.8,1.4,1.1
Wayne Cooper,86.4,5.1,4.1,3.5,2.9,2.9,2.8,2,1.5,1.2,1.2
Joe Meriweather,85.9,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8
Mel Counts,84.9,5,4.3,4.2,2.9,2.7,1.9,1.5,1.5,1,0.3
Otto Moore,84.3,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA
Spencer Hawes,84.1,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6
Andrew Lang,83.5,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4,0.7
Benoit Benjamin,82.4,5.4,5.1,4.1,4,3,2.2,2.2,2,1.1,0.9
Chris Dudley,81.7,4.7,4.1,3.5,3.4,2.2,2.2,1,0.2,0.1,0
