Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Eric Moreland,,2.3,0,0,0
J.J. Anderson,85.7,2.3,0.2,0.1,NA
Dean Tolson,81.1,2,0.2,0,NA
Dick Ricketts,80.8,2,0.1,0,NA
Alan Williams,79.4,2.1,0.2,0.2,0
Gerard King,74.4,2.3,0.5,0.2,NA
Neil Johnson,71.6,2.2,0.2,-0.2,-0.3
Larry Spriggs,71.4,2.6,0.5,0.1,0
Ryan Kelly,71.3,2.2,0.7,0.1,0.1
Don Lofgran,70.2,2.9,0.1,0.1,NA
Earl Clark,68.9,2.3,0.3,0.3,-0.3
