Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Eric Moreland,,2.3,0,0,0,NA
J.J. Anderson,85.7,2.3,0.2,0.1,NA,NA
Dean Tolson,81.1,2,0.2,0,NA,NA
Dick Ricketts,80.8,2,0.1,0,NA,NA
Alan Williams,79.4,2.1,0.2,0.2,0,NA
Gerard King,74.4,2.3,0.5,0.2,NA,NA
Ryan Kelly,71.3,2.2,0.7,0.1,0.1,NA
Don Lofgran,70.2,2.9,0.1,0.1,NA,NA
Joe Roberts,67.8,1.9,0.2,0.2,0,NA
Larry Spriggs,64.3,2.6,0.5,0.3,0.1,0
Sean May,64.0,2.2,0.4,0.3,-0.3,NA
