Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kelly Olynyk,,5.5,4.7,4.1,4.1,3.6,2.9
Brendan Haywood,94.8,5.2,5,3.9,3.8,3.4,3.1
Alton Lister,92.5,5.5,5.3,4.1,4,3.8,1.7
Steve Johnson,89.7,4.9,4.4,4.4,4.4,3.1,2.4
Lloyd Neal,88.2,4.8,4.7,4.3,4.3,2.9,1.8
Mark Eaton,87.4,5.4,4.1,4,3.7,3.6,0.8
Herb Williams,87.0,6.2,4.7,4.6,3.5,2.8,2.2
Kevin Duckworth,86.5,5.2,4.8,4.8,4.3,3.3,0.8
LaSalle Thompson,84.3,5.6,5.3,4.9,4.5,2.3,1.9
Cody Zeller,84.0,6.3,5.6,3.9,3.8,2.6,1.9
Roy Hibbert,83.4,6.2,6.1,5.4,4.1,3.6,2.1
