Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Nikola Peković,,6.7,5.9,4.5,1.2,0.6,-0.1
Scot Pollard,87.6,6.8,5.4,5.1,1.1,1,0.9
Gheorghe Mureșan,85.8,8,5.3,4.1,1.3,0.3,-0.1
Jack Nichols,84.9,6.7,4.3,4.1,1.6,0.3,NA
Ralph Sampson,84.6,6.2,6,5,2.2,1.1,0.6
Don Otten,82.3,8.5,5.8,4.9,1.7,NA,NA
Bob Rule,81.6,7.8,6.4,5.2,2.4,0.5,0.1
Kendrick Perkins,81.2,6.2,5.6,2.3,1.4,0.7,0.1
Rasho Nesterović,79.9,7.2,5.2,4.1,3,1.5,0
Myles Turner,78.4,8,6.3,4.7,3.1,NA,NA
Ervin Johnson,78.2,6.4,5.2,3.9,3,1.3,0.7
