Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rick Carlisle,,0.9,0.2,-0.1,-0.2,-0.3
Ish Smith,43.4,1,0.3,-0.1,-0.1,-0.4
Shaler Halimon,40.5,0.8,0.3,0,-0.3,-0.3
Greg Sutton,34.7,0.8,0.2,-0.1,NA,NA
Sam Jacobson,34.5,0.9,0.2,0,NA,NA
Wayne Chapman,25.7,1,0.1,0,-0.1,NA
Andre McCarter,23.0,0.8,0.3,0,NA,NA
Willie Smith,21.4,1,0.3,0,0,NA
Tate George,17.9,1.1,0.4,0,-0.1,NA
Phil Pressey,14.2,0.8,0.1,-0.1,NA,NA
Jim Farmer,13.2,0.7,0.4,0.1,-0.1,-0.4
