Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dennis Hamilton,,2.8,0.7,0.5,0
Kenny Fields,93.8,2.8,0.7,0.7,0
Dick Schulz,92.7,2.9,0.8,0.6,0
Darius Miller,87.5,3,0.8,0.5,-0.1
Charles Jones,87.3,2.9,0.9,0.6,0.1
Bob Quick,87.3,2.6,0.8,0.6,0.3
Barry Clemens,85.6,2.8,0.9,0.1,0.1
DeMarre Carroll,84.7,3.1,0.5,0.5,0.1
Derrick Jones,84.6,2.9,1.1,0.4,NA
Jeff Adrien,84.1,2.7,1,0.2,0.1
Barney Cable,83.4,3.3,0.7,0.4,0.1
