Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dennis Hamilton,,2.8,0.7,0.5,0,NA
Kenny Fields,93.8,2.8,0.7,0.7,0,NA
Dick Schulz,92.7,2.9,0.8,0.6,0,NA
Charles Jones,87.3,2.9,0.9,0.6,0.1,NA
Bob Quick,87.3,2.6,0.8,0.6,0.3,NA
Jeff Adrien,84.6,2.7,1,0.4,0.2,0.1
Derrick Jones,84.6,2.9,1.1,0.4,NA,NA
Larry Spriggs,81.4,2.6,0.5,0.3,0.1,0
Walter Herrmann,80.9,2.4,1,0.7,NA,NA
Grady Lewis,76.9,2.4,1.1,0.8,NA,NA
Sam Young,74.0,2.9,1.2,0.9,0.2,NA
