,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,LAL,NBA,,7,,,,,,3,3,,,,,,,15
1968-69,24,ATL,NBA,,5,,,,,,1,2,,,,,,,10
1969-70,25,PTP,ABA,,10,,0,,,,5,7,,,,,,,23
1970-71,26,KEN,ABA,,1,,0,,,,1,1,,,,,,,3
Career,,,TOT,,10,,,,,,5,7,,,,,,,23
,,,NBA,,7,,,,,,3,3,,,,,,,15
,,,ABA,,10,,0,,,,5,7,,,,,,,23
,,,,,,,,,,,,,,,,,,,
1 Season,,PTP,ABA,,10,,0,,,,5,7,,,,,,,23
1 Season,,LAL,NBA,,7,,,,,,3,3,,,,,,,15
1 Season,,ATL,NBA,,5,,,,,,1,2,,,,,,,10
1 Season,,KEN,ABA,,1,,0,,,,1,1,,,,,,,3
