Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,LAL,NBA,PF,44,NA,378,5.1,10.3,0.5,NA,NA,NA,5.1,10.3,0.5,1.2,1.2,1,NA,NA,6.9,2.9,NA,4.4,11.5
1968-69,24,ATL,NBA,PF,25,NA,141,9.4,17.1,0.552,NA,NA,NA,9.4,17.1,0.552,0.5,1.3,0.4,NA,NA,7.4,2,NA,4.9,19.4
1969-70,25,PTP,ABA,PF,72,NA,1331,5.1,10.1,0.507,0,0,0,5.1,10.1,0.508,2.1,2.7,0.76,2.8,6.4,9.2,2,2.6,3.9,12.3
1970-71,26,KEN,ABA,PF,3,NA,11,3.3,6.5,0.5,0,0,NA,3.3,6.5,0.5,3.3,3.3,1,0,3.3,3.3,3.3,9.8,3.3,9.8
Career,NA,,TOT,,144,NA,1861,5.5,10.7,0.511,0,0,0,5.5,10.7,0.512,1.8,2.3,0.773,2.8,6.4,8.6,2.2,2.7,4.1,12.7
,NA,,ABA,,75,NA,1342,5.1,10.1,0.507,0,0,0,5.1,10.1,0.508,2.1,2.7,0.762,2.8,6.4,9.1,2,2.7,3.9,12.3
,NA,,NBA,,69,NA,519,6.3,12.1,0.52,NA,NA,NA,6.3,12.1,0.52,1,1.2,0.833,NA,NA,7,2.6,NA,4.5,13.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PTP,ABA,,72,NA,1331,5.1,10.1,0.507,0,0,0,5.1,10.1,0.508,2.1,2.7,0.76,2.8,6.4,9.2,2,2.6,3.9,12.3
1 season,NA,LAL,NBA,,44,NA,378,5.1,10.3,0.5,NA,NA,NA,5.1,10.3,0.5,1.2,1.2,1,NA,NA,6.9,2.9,NA,4.4,11.5
1 season,NA,ATL,NBA,,25,NA,141,9.4,17.1,0.552,NA,NA,NA,9.4,17.1,0.552,0.5,1.3,0.4,NA,NA,7.4,2,NA,4.9,19.4
1 season,NA,KEN,ABA,,3,NA,11,3.3,6.5,0.5,0,0,NA,3.3,6.5,0.5,3.3,3.3,1,0,3.3,3.3,3.3,9.8,3.3,9.8
