Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,LAL,NBA,PF,44,378,10.6,0.532,NA,0.12,NA,NA,NA,9.7,NA,NA,NA,0.4,0.3,0.7,0.092
1968-69,24,ATL,NBA,PF,25,141,16.1,0.549,NA,0.075,NA,NA,NA,8.7,NA,NA,NA,0.4,0.1,0.5,0.163
1969-70,25,PTP,ABA,PF,72,1331,12.4,0.544,0.003,0.267,NA,NA,10.8,7.1,18.6,13.9,NA,1.7,1,2.8,0.099
1970-71,26,KEN,ABA,PF,3,11,-2,0.615,0,0.5,NA,NA,3.9,10.3,55.1,17.5,NA,0,0,0,0.099
Career,NA,,TOT,,144,1861,12.2,0.543,0.002,0.216,NA,NA,10.8,7.8,19,13.9,NA,2.5,1.4,4,0.103
,NA,,ABA,,75,1342,12.3,0.545,0.003,0.268,NA,NA,10.8,7.1,19,13.9,NA,1.7,1,2.8,0.099
,NA,,NBA,,69,519,12.1,0.538,NA,0.103,NA,NA,NA,9.4,NA,NA,NA,0.8,0.4,1.2,0.111
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PTP,ABA,,72,1331,12.4,0.544,0.003,0.267,NA,NA,10.8,7.1,18.6,13.9,NA,1.7,1,2.8,0.099
1 season,NA,LAL,NBA,,44,378,10.6,0.532,NA,0.12,NA,NA,NA,9.7,NA,NA,NA,0.4,0.3,0.7,0.092
1 season,NA,ATL,NBA,,25,141,16.1,0.549,NA,0.075,NA,NA,NA,8.7,NA,NA,NA,0.4,0.1,0.5,0.163
1 season,NA,KEN,ABA,,3,11,-2,0.615,0,0.5,NA,NA,3.9,10.3,55.1,17.5,NA,0,0,0,0.099
