Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Warren Jabali,,10.7,7.3,5.8,3.5,3.2,2.6,2.1
Stu Lantz,89.7,10.5,7.4,4.7,3.4,2.4,1.7,1.4
Vinny Del Negro,89.5,8.3,6.8,5.7,3.5,3.1,2.5,2.2
Brent Barry,88.1,12.1,7.5,5.8,4.9,2.7,2.1,1.6
Flynn Robinson,87.5,9.3,6.7,4.9,3.6,3.3,2.2,1.3
DeMar DeRozan,87.4,9.9,8.8,4.7,4,3.2,2.5,2.3
Kirk Hinrich,86.7,10.1,7.6,7.2,4.1,4,3.6,2.6
Dick Snyder,86.2,10,8,6.2,4.1,3.7,1.8,0.6
Derek Anderson,86.1,9.9,8.1,5.3,5.3,3.6,3.3,2.1
Mike Riordan,86.0,11.1,7,6.1,3.8,2.1,1.7,-0.1
Sleepy Floyd,85.6,10,7.7,7.5,4.4,4.4,3.1,2.2
