,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,22,OAK,ABA,,15,,1,,,,12,18,,,,,,,,,42
1970-71,24,INA,ABA,,8,,2,,,,4,5,,,,,,,,,18
1971-72,25,FLO,ABA,,7,,2,,,,11,13,,,,,,,,,22
1972-73,26,DNR,ABA,,4,,0,,,,5,5,,,,,,,,,11
Career,,,,,15,,2,,,,12,18,,,,,,,,,42
1 Season,,OAK,ABA,,15,,1,,,,12,18,,,,,,,,,42
1 Season,,INA,ABA,,8,,2,,,,4,5,,,,,,,,,18
1 Season,,DNR,ABA,,4,,0,,,,5,5,,,,,,,,,11
1 Season,,FLO,ABA,,7,,2,,,,11,13,,,,,,,,,22
