Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Warren Jabali,,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA,NA,NA,NA,NA
Mike Riordan,89.8,11.1,7,6.1,3.8,2.1,1.7,1.7,-0.1,-0.1,NA,NA,NA
Stu Lantz,87.6,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1,NA,NA,NA,NA
Chuck Williams,85.4,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA,NA,NA,NA
Micheal Ray Richardson,85.1,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA,NA
Flynn Robinson,85.1,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA,NA
Bradley Beal,84.0,8.5,7.6,6.9,4,3.7,3,2.7,NA,NA,NA,NA,NA
Frankie Brian,83.8,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA,NA,NA,NA,NA
Paul Seymour,83.5,9.3,8.7,6.7,3.8,3.2,2.3,1.8,0.8,0.5,0.4,0.3,-0.1
Johnny Moore,80.5,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA,NA,NA
Ronnie Brewer,80.2,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA,NA,NA
