Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,TOV,PF,PTS
1968-69,25,MMF,ABA,C,1,NA,17:00,1,4,0.25,0,0,NA,0,0,NA,0,5,2,1,3,2
Career,NA,,ABA,,1,NA,17,1,4,0.25,0,0,NA,0,0,NA,0,5,2,1,3,2
