,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,MNM,ABA,,9,,0,,,,4,7,,,,,,,22
1968-69,25,MMF,ABA,,8,,0,,,,7,11,,,,,,,19
Career,,,,,9,,0,,,,7,11,,,,,,,22
