Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,MNM,ABA,C,63,NA,19.1,3.3,7.5,0.434,0,0,0,3.3,7.5,0.435,0.434,1.6,2.6,0.622,NA,NA,6.9,0.9,1.2,2,8.2
1968-69,25,MMF,ABA,C,78,NA,33.9,6.8,14.1,0.484,0,0,0,6.8,14.1,0.485,0.484,3.1,5,0.615,5,8.4,13.4,2.5,2.3,4.2,16.7
1969-70,26,MMF,ABA,C,29,NA,35.2,5.7,12.6,0.451,0,0.1,0,5.7,12.5,0.453,0.451,3.2,5.3,0.594,3.8,9.8,13.6,2.6,3.1,3.9,14.5
Career,NA,,ABA,,170,NA,28.6,5.3,11.4,0.465,0,0,0,5.3,11.4,0.466,0.465,2.6,4.2,0.612,4.7,8.8,11,1.9,2,3.3,13.2
