Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Fred Brown,,8.8,7.9,6.7,6.4,6.1,5.2,5.2,4.9,3.9,3.6,2.8,2.6,-0.9,NA
Reggie Theus,92.1,9.2,6.9,6.5,6.4,6.2,5.9,5.3,4.7,4.6,3.7,3.2,2.5,1.8,NA
Carl Braun,90.7,9,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3,0.5,0.4,NA
David Wesley,90.7,7.6,7,6.3,6.1,6.1,5.8,5.2,4.8,3.6,2.8,2.6,2.6,0.6,0.3
George Hill,89.8,9.7,7.8,6.7,6.2,6.1,5.9,5.4,4,3.2,2.8,2.1,NA,NA,NA
Randy Smith,89.1,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3,2.5,2.4,2.2,NA,NA
Dave Bing,88.3,11.7,8.6,7.3,6.3,6.2,5.3,5.3,5.3,4.5,3.6,2.9,1.7,NA,NA
Jason Richardson,88.3,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3,2.9,2.8,1.4,0.4,NA
J.J. Redick,87.6,6.7,6.7,6.6,6.5,5.9,5.2,4.8,4.5,4.5,3,2.3,1.7,0.5,NA
Dick Barnett,87.4,8,8,7.8,7.7,6.8,6.5,5.8,5.5,4.7,3.4,2.6,2.2,0,-0.2
Danny Ainge,87.3,8.6,6.8,6.7,6.7,6.6,6.2,6.2,5.2,5.2,4.8,3.4,2.8,1.8,0.5
