Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Drew Gooden,,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0,-0.1
Anderson Varejão,87.6,8.1,8,6.6,5.4,3.3,3,2.4,2.3,2.2,2.1,1.9,1,0.2,NA
Ed Pinckney,86.6,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.7,0.3,NA,NA
Bryon Russell,84.0,8.8,7.4,6.8,6,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8,0,NA
Matt Harpring,83.8,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2,NA,NA,NA
Bo Outlaw,83.7,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,1.2,0.7,0.2
Joe Caldwell,83.6,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2,1.1,0.3,NA,NA,NA
Ryan Anderson,83.5,8.9,6.5,6.4,5.2,4.8,3.9,3.5,3.1,2.5,2.3,-0.2,NA,NA,NA
Stacey Augmon,83.4,9.7,5.6,5.1,3.7,3.7,2.6,2.5,2.3,1.8,1.6,1.5,1.5,1.2,0.7
Kelly Tripucka,83.0,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2,1.7,NA,NA,NA,NA
Carl Landry,82.7,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA,NA,NA,NA,NA
