Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Randolph Keys,,1.2,1,0.3,0,-0.2
Tommie Bowens,78.6,1.2,1.1,0.5,NA,NA
Skal Labissière,76.7,1.4,1.3,0.3,NA,NA
Bo Ellis,73.2,1.1,0.9,0.5,NA,NA
Patrick McFarland,73.2,1.3,0.7,0.4,NA,NA
Jérôme Moïso,73.2,1.5,0.8,0.2,-0.1,-0.3
Fred Saunders,73.1,1.3,1.2,0.5,0.1,NA
Brian Rowsom,72.5,1.5,1,0,NA,NA
Tom Workman,72.0,1.4,1.3,0.4,0.1,NA
Alec Kessler,71.6,1.2,0.8,0.1,-0.1,NA
Joe Ellis,71.3,1.3,1,0.5,0.4,-0.3
