Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,29,TOT,NBA,SF,74,NA,1782,8.8,17.6,0.501,3.8,4.5,0.855,1.5,4.2,5.7,4.2,1.1,0.6,5.3,21.5,NA,NA,103
1973-74,29,HOU,NBA,SF,47,NA,1102,8.6,18.2,0.474,3.4,4,0.837,1.2,3.2,4.4,5,0.9,0.3,4.9,20.6,NA,NA,104
1973-74,29,BUF,NBA,SF,27,NA,680,9.2,16.8,0.545,4.5,5.1,0.877,1.9,5.8,7.7,2.9,1.5,1.1,5.9,22.8,NA,NA,100
1974-75,30,BUF,NBA,SF,81,NA,2147,7.9,17.4,0.455,4,4.6,0.869,2.2,5.4,7.5,2.8,1.1,0.3,4.9,19.8,NA,NA,100
1975-76,31,TOT,NBA,SF,79,NA,1909,8.5,20.1,0.422,4,4.7,0.856,1.7,4.5,6.2,3.5,1.1,0.3,4.1,21,NA,NA,100
1975-76,31,BUF,NBA,SF,12,NA,278,6.5,15,0.436,4.3,5.3,0.818,1.6,4.8,6.4,3.7,1.1,1,4.8,17.4,NA,NA,100
1975-76,31,CHI,NBA,SF,67,NA,1631,8.9,21.1,0.421,3.9,4.6,0.865,1.7,4.5,6.2,3.5,1.1,0.1,3.9,21.7,NA,NA,100
1976-77,32,CHI,NBA,SF,54,NA,869,9.2,19.8,0.465,1.7,2.2,0.795,1.5,3.5,5,3.4,0.7,0.3,4.7,20.2,NA,NA,101
Career,NA,,NBA,,288,NA,6707,8.5,18.5,0.465,3.7,4.3,0.843,1.8,4.6,6.4,3.4,1.1,0.4,4.8,20.6,NA,NA,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CHI,NBA,,121,NA,2500,9,20.6,0.435,3.2,3.7,0.851,1.6,4.2,5.8,3.5,1,0.2,4.2,21.1,NA,NA,101
3 seasons,NA,BUF,NBA,,120,NA,3105,8.1,17,0.473,4.1,4.8,0.866,2,5.4,7.5,2.9,1.2,0.6,5.1,20.3,NA,NA,100
2 seasons,NA,HOU,NBA,,47,NA,1102,8.6,18.2,0.469,3.4,4,0.846,1.2,3.2,4.4,5,0.9,0.3,4.9,20.6,NA,NA,104
6 seasons,NA,BAL,NBA,,0,NA,0,NA,NA,0.468,NA,NA,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
