Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1971-72,27,BAL,NBA,SF,1,0,15:00,5,8,0.625,1,1,1,NA,0,1,NA,NA,2,11
1972-73,28,HOU,NBA,SF,1,0,11:00,2,6,0.333,0,0,NA,NA,4,1,NA,NA,0,4
Career,NA,,NBA,,2,0,26,7,14,0.5,1,1,1,NA,4,2,NA,NA,2,15
