Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,24,BAL,NBA,SF,4,NA,38.3,6,12.8,0.471,1.8,2.8,0.636,NA,NA,4.5,3,NA,NA,3.3,13.8
1969-70,25,BAL,NBA,SF,7,NA,37.9,6.9,16.3,0.421,4.1,4.9,0.853,NA,NA,6.7,3.1,NA,NA,3.9,17.9
1970-71,26,BAL,NBA,SF,18,NA,41.7,8.2,17.7,0.461,4.2,5.2,0.817,NA,NA,8.1,3.1,NA,NA,3,20.6
1971-72,27,BAL,NBA,SF,6,NA,38.2,5.2,13,0.397,6.8,7.8,0.872,NA,NA,6,2,NA,NA,3.7,17.2
1973-74,29,BUF,NBA,SF,6,NA,20.2,3.7,7.8,0.468,1.2,1.5,0.778,0.8,2.3,3.2,1.3,0.3,0,2.8,8.5
1974-75,30,BUF,NBA,SF,7,NA,15.4,1.7,3.9,0.444,1.9,2.1,0.867,0.7,1.7,2.4,1.1,1,0.1,1.7,5.3
1976-77,32,CHI,NBA,SF,3,NA,17.7,2.7,4.3,0.615,0,0.3,0,0,0.3,0.3,0.7,0,0,2,5.3
Career,NA,,NBA,,51,NA,32.9,5.7,12.7,0.45,3.4,4.1,0.824,0.6,1.7,5.5,2.4,0.6,0.1,3,14.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,BAL,NBA,,35,NA,39.9,7.1,16.1,0.445,4.4,5.3,0.827,NA,NA,7,2.9,NA,NA,3.3,18.7
2 seasons,NA,BUF,NBA,,13,NA,17.6,2.6,5.7,0.459,1.5,1.8,0.833,0.8,2,2.8,1.2,0.7,0.1,2.2,6.8
1 season,NA,CHI,NBA,,3,NA,17.7,2.7,4.3,0.615,0,0.3,0,0,0.3,0.3,0.7,0,0,2,5.3
