,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,24,BAL,NBA,,7,15,3,3,,,7,6,,,5,17
1969-70,25,BAL,NBA,,10,,7,8,,,,,,,,22
1970-71,26,BAL,NBA,,11,24,11,14,,,16,7,,,5,33
1971-72,27,BAL,NBA,,8,19,10,11,,,8,4,,,6,26
1973-74,29,TOT,NBA,,7,9,4,4,,,5,3,,,5,14
1973-74,29,BUF,NBA,,7,9,4,4,,,5,3,,,5,14
1974-75,30,BUF,NBA,,6,9,5,6,,,5,3,,,3,17
1976-77,32,CHI,NBA,,6,7,0,1,0,1,1,1,0,0,4,12
Career,,,,,11,,11,14,,,,,,,,33
4 Seasons,,BAL,NBA,,11,,11,14,,,,,,,,33
2 Seasons,,BUF,NBA,,7,9,5,6,,,5,3,,,5,17
1 Season,,CHI,NBA,,6,7,0,1,0,1,1,1,0,0,4,12
