Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jack Marin,,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3
Mickey Johnson,92.9,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,0.7
Rodney McCray,92.4,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,NA
Tayshaun Prince,92.0,9.4,8,7.5,7.5,7,6.2,3.6,3.3,3.2,2.1,0.8
Don Nelson,91.6,8.8,8.3,7.5,7.4,6.1,5.8,5.4,3.3,2.3,2.1,0.4
Corey Maggette,91.1,8.6,8.1,7,6.9,6.3,5,3.9,3.3,3.3,3,2.6
Nick Anderson,90.8,8.3,7.7,7.6,7.4,5.3,4.2,3.9,3.6,3.1,2.8,1.8
Jerome Kersey,90.8,8.8,8.6,6.8,6.8,6.7,6.4,3.6,3.4,3.2,2.5,2.2
Lamar Odom,90.6,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.2,0.7
Hedo Türkoğlu,90.3,9,7.6,7.3,6.8,6.7,5.2,4.9,3.4,3.4,2.8,2.6
Greg Ballard,90.0,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7,0
