Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jim Chones,,6.4,6.2,6,5.9,5.8,4.7,3.5,3.3,2.6,1.4
Rick Mahorn,92.2,6.2,5.9,5.9,5.3,4.8,4.6,3.6,2.5,1.8,1.3
Jim Fox,89.7,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6
Andrew Bogut,88.0,7.5,6.5,5.5,5.4,5.2,4.8,4,2.6,1.7,0.5
Theo Ratliff,87.4,6.7,5.6,5.4,5.2,5.2,4,3.9,3.8,2.3,0
Rik Smits,87.2,7.8,7.2,6.6,6.1,5,4.3,3.4,3.3,2.9,2.7
Samuel Dalembert,86.7,6.9,6.9,6.2,5.2,4.1,4,3.9,3.6,2.9,0.3
Mark Eaton,85.9,6.6,5.5,5.4,5.3,4.1,4,3.8,3.7,3.6,0.8
Caldwell Jones,84.6,8.1,7.6,6.2,5.5,5.2,5,4.4,3.9,3.1,2.5
Sam Lacey,84.6,7.7,7.4,6.5,5.6,5.6,5,4.3,2.7,1.2,0.3
Brendan Haywood,84.4,6.8,6.7,5.2,5,3.9,3.8,3.4,3.1,2.9,0.2
