Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kris Dunn,,0.9,0.6,0.1,NA,NA
Zoran Planinić,90.2,0.8,0.7,0.1,NA,NA
Tarence Kinsey,88.2,0.9,0.6,0,NA,NA
Litterial Green,86.7,0.8,0.8,0.1,0,-0.1
Phil Rollins,85.6,1.1,0.7,0.1,NA,NA
Tony Bennett,84.6,0.9,0.7,0,NA,NA
LaBradford Smith,80.5,0.8,0.8,-0.1,NA,NA
Bryan Warrick,80.1,1,0.5,0.1,0,NA
Stan Pietkiewicz,77.4,1,0.6,0,NA,NA
Charlie Davis,76.8,0.8,0.7,-0.1,NA,NA
Carlos Terry,76.7,0.8,0.8,-0.1,NA,NA
