,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2016-17,22,MIN,NBA,PG,78,1333,.377,13.8,.767,.240,.150,.083,.294,.233,.404,.507,.426,.269,.348,.288,.289,.029,7,.667,.247,.278,0,0
2017-18,23,CHI,NBA,PG,52,1525,.429,12.0,.799,.263,.168,.179,.189,.201,.457,.543,.393,.387,.460,.321,.173,.033,19,.628,.134,.389,1,0
2018-19,24,CHI,NBA,PG,46,1389,.425,11.6,.810,.257,.227,.190,.136,.190,.441,.585,.339,.448,.333,.354,.177,.028,13,.647,.177,.353,0,0
2019-20,25,CHI,NBA,PG,51,1269,.444,11.3,.673,.398,.187,.056,.032,.327,.535,.647,.438,.263,.182,.259,.423,.023,8,.966,.259,.276,1,0
Career,,,NBA,,227,5516,.422,12.1,.773,.282,.185,.142,.163,.227,.456,.576,.388,.388,.386,.306,.239,.029,47,.717,.198,.317,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CHI,NBA,,149,4183,.431,11.7,.774,.291,.192,.155,.136,.226,.467,.587,.381,.402,.403,.310,.230,.029,40,.726,.187,.328,2,0
1 season,,MIN,NBA,,78,1333,.377,13.8,.767,.240,.150,.083,.294,.233,.404,.507,.426,.269,.348,.288,.289,.029,7,.667,.247,.278,0,0
