Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,ATL,NBA,SG,80,44,2376,302,642,0.47,13,56,0.232,289,586,0.493,0.481,190,231,0.823,195,287,482,151,74,35,106,184,807
2005-06,22,ATL,NBA,SF,74,10,2249,278,504,0.552,32,65,0.492,246,439,0.56,0.583,154,201,0.766,134,253,387,131,86,39,101,184,742
2006-07,23,ATL,NBA,SG,55,13,2024,261,518,0.504,26,77,0.338,235,441,0.533,0.529,167,210,0.795,123,217,340,127,58,36,80,118,715
2007-08,24,ATL,NBA,SF,76,0,2274,327,573,0.571,22,60,0.367,305,513,0.595,0.59,222,275,0.807,174,199,373,117,71,43,98,129,898
2010-11,27,PHO,NBA,SG,54,3,894,121,214,0.565,1,16,0.063,120,198,0.606,0.568,29,59,0.492,69,86,155,42,33,23,44,68,272
2011-12,28,PHO,NBA,SF,34,0,491,48,99,0.485,4,24,0.167,44,75,0.587,0.505,0,2,0,31,64,95,34,14,6,9,38,100
2012-13,29,BRK,NBA,SF,14,0,100,6,21,0.286,1,3,0.333,5,18,0.278,0.31,1,2,0.5,6,9,15,5,2,2,0,3,14
2013-14,30,NOP,NBA,SF,4,0,24,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,3,3,2,1,0,1,1,0
Career,NA,,NBA,,391,70,10432,1343,2571,0.522,99,301,0.329,1244,2270,0.548,0.542,763,980,0.779,732,1118,1850,609,339,184,439,725,3548
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,ATL,NBA,,285,67,8923,1168,2237,0.522,93,258,0.36,1075,1979,0.543,0.543,733,917,0.799,626,956,1582,526,289,153,385,615,3162
2 seasons,NA,PHO,NBA,,88,3,1385,169,313,0.54,5,40,0.125,164,273,0.601,0.548,29,61,0.475,100,150,250,76,47,29,53,106,372
1 season,NA,BRK,NBA,,14,0,100,6,21,0.286,1,3,0.333,5,18,0.278,0.31,1,2,0.5,6,9,15,5,2,2,0,3,14
1 season,NA,NOP,NBA,,4,0,24,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,3,3,2,1,0,1,1,0
