Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Josh Childress,,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0
Andrew Toney,88.1,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2
CJ McCollum,86.8,7.6,6.6,6,5.6,1.8,0.2,NA,NA
Jeff McInnis,86.4,6.9,5.1,4.9,4.1,1.1,0.3,0.2,0.1
Larry Brown,85.8,6.6,5.8,5.1,5,2.4,NA,NA,NA
Rafer Alston,85.3,6.6,5.9,5.5,3.4,1.2,0.7,0.3,-0.7
Doug Christie,84.8,7,5.1,4.2,4,1.4,1.4,0.1,-0.3
Dick Garmaker,84.8,7.5,4.7,4.6,4.4,3.1,1.3,NA,NA
Gene Littles,84.6,7.7,4.8,4.2,3.6,1.6,1.4,NA,NA
Bryant Stith,84.4,6.8,5.6,5.2,3,1.6,1.6,0.5,-0.3
Mahmoud Abdul-Rauf,84.3,6.8,5.5,5.1,5,2.7,0.6,-0.3,-1
