Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Kyle Macy,,9.2,6.4,5,4.6,4.5,3.9,2.4,NA,NA,NA,NA,NA
Eric Bledsoe,88.7,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA,NA
Chuck Williams,84.5,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA,NA,NA,NA
Monta Ellis,84.1,9,6,4.9,4.6,4.3,4,3.6,2.6,1.3,1.1,0.5,0.2
Gene Shue,84.1,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4,-1.1,NA,NA
Micheal Ray Richardson,83.8,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA,NA,NA
Flynn Robinson,83.6,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA,NA
Phil Smith,83.5,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA,NA,NA
Dave Twardzik,83.1,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA,NA,NA
Steve Jones,82.7,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA,NA
Bradley Beal,82.5,8.5,7.6,6.9,4,3.7,3,2.7,NA,NA,NA,NA,NA
