Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kyle Macy,,9.2,6.4,5,4.6,4.5,3.9,2.4
Jay Humphries,92.1,8.6,7.6,4.9,4.8,4.5,3.5,1.9
Don Buse,91.5,10.6,6,5.4,4.7,4.6,4.4,2.6
Mario Elie,91.3,8.9,5.1,4.8,4.4,4.2,3.8,1.6
Kendall Gill,89.5,8.8,6.7,4.7,4.6,3.2,2.9,1.8
Phil Smith,89.2,9.4,7,6.3,5.2,4.8,2.9,2.2
Reggie Theus,89.1,9.2,6.9,6.5,5.3,4.6,3.2,1.8
Ron Harper,87.1,10.2,6,5.6,4.2,3.9,3.5,0.9
José Calderón,86.9,10.2,7.5,5.4,5.1,4.2,3.7,0.9
Ben Gordon,86.9,8.6,6.9,5.1,4.4,3.5,2.1,1.7
Derek Anderson,86.3,9.9,8.1,5.3,5.3,3.6,3.3,2.1
