Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
DeJuan Blair,,4.8,4.6,4,3.4,2.2,0.1,-0.1,NA,NA,NA
Terrence Ross,87.4,4.3,4.2,3.6,3.5,2.4,0.9,0.3,NA,NA,NA
Paul Griffin,85.8,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA,NA
Julius Keye,85.6,5.3,4.3,3.6,3.6,1.2,-0.2,NA,NA,NA,NA
Hakim Warrick,84.6,4.7,4,3.7,3.4,3.3,0.8,0.5,0,NA,NA
Scott May,83.8,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,NA,NA,NA
Keon Clark,83.5,5.3,4.7,4.2,3.7,0.2,0,NA,NA,NA,NA
Nikola Mirotić,83.5,5.7,4,3.9,3.8,3.5,NA,NA,NA,NA,NA
Wayne Hightower,83.4,5.8,4.2,4,2.9,2.2,0.7,0,0,-0.2,-0.8
Danny Fortson,82.6,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0
Aaron Gordon,82.4,5.4,5.1,3.7,2.9,1,NA,NA,NA,NA,NA
