,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2009-10,20,SAS,NBA,PF,10,91,,,,79%,21%,-11.9,-9.4,1,1,12,0,3,1,11,1,3
2010-11,21,SAS,NBA,PF,4,50,,,,97%,3%,+13.3,+20.6,1,0,4,0,1,2,5,1,6
2011-12,22,SAS,NBA,PF,10,76,,,,78%,22%,-3.9,-12.3,0,0,5,1,3,0,5,0,2
2012-13,23,SAS,NBA,PF,12,76,,,,89%,11%,+35.2,+30.1,0,1,9,0,5,1,15,1,1
2013-14,24,DAL,NBA,PF,6,81,,,,69%,31%,+13.2,+20.9,2,1,6,1,5,0,2,1,2
Career,,,NBA,,42,374,,,,81%,19%,+8.1,+8.6,4,3,36,2,17,4,38,4,14
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAS,NBA,,36,293,,,,84%,16%,+6.7,+5.2,2,2,30,1,12,4,36,3,12
1 season,,DAL,NBA,,6,81,,,,69%,31%,+13.2,+20.9,2,1,6,1,5,0,2,1,2
